glyph; name; type; input
˙; Constant; combinator; \"
˜; Self/Swap; combinator; `
∘; Atop; combinator; j
○; Over; combinator; k
⊸; Before/Bind; combinator; h
⟜; After/Bind; combinator; l
⊘; Valences; combinator; %
◶; Choose; combinator; $
⌾; Under; combinator; K
⎊; Catch; combinator; ^
˘; Cells; 1-modifier; 1
⎉; Rank; 2-modifier; !
¨; Each; 1-modifier; 2
⚇; Depth; 2-modifier; @
⌜; Table; 1-modifier; 4
⁼; Undo; 1-modifier; 3
⍟; Repeat; 2-modifier; #
´; Fold; 1-modifier; 5
˝; Insert; 1-modifier; 6
`; Scan; 1-modifier;
